,Year,Mileage,Engine,Power,Seats,Price,Miles_Driven,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third
50,2015,40,1968.0,174.33,5.0,32599,8480,0,1,0,0,1,0,1,0,0,0
51,2014,53,1248.0,74.0,5.0,6465,32311,0,1,0,0,0,1,1,0,0,0
52,2014,41,1248.0,75.0,5.0,5020,32932,0,1,0,0,0,1,1,0,0,0
53,2013,66,1248.0,74.0,5.0,5856,40793,0,1,0,0,0,1,1,0,0,0
54,2015,44,1197.0,82.0,5.0,5476,33554,0,0,0,1,0,1,0,0,0,1
55,2015,35,1598.0,103.2,5.0,6069,24233,0,0,0,1,0,1,1,0,0,0
56,2017,59,799.0,53.3,5.0,5020,10278,0,0,0,1,0,1,1,0,0,0
57,2010,47,1197.0,78.9,5.0,3148,19883,0,0,0,1,0,1,1,0,0,0
58,2010,31,1995.0,147.6,5.0,11789,75690,0,1,0,0,1,0,1,0,0,0
59,2010,42,998.0,67.1,5.0,3422,24419,0,0,0,1,0,1,1,0,0,0
60,2017,32,2393.0,147.8,8.0,25100,13670,0,1,0,0,0,1,1,0,0,0
61,2010,47,1399.0,68.0,5.0,4183,44738,0,1,0,0,0,1,1,0,0,0
62,2015,27,1796.0,186.0,5.0,40616,36039,0,0,0,1,1,0,1,0,0,0
63,2011,37,2148.0,170.0,5.0,15212,40389,0,1,0,0,0,1,0,0,1,0
64,2016,58,1396.0,69.0,5.0,3803,110604,0,1,0,0,0,1,1,0,0,0
65,2012,38,1968.0,140.0,5.0,20536,40801,0,1,0,0,1,0,1,0,0,0
66,2007,38,1497.0,78.0,5.0,2814,39146,0,0,0,1,1,0,0,0,1,0
67,2019,0,1950.0,194.0,5.0,54261,9549,0,1,0,0,1,0,1,0,0,0
68,2016,57,1248.0,88.5,7.0,12397,39146,0,1,0,0,0,1,1,0,0,0
69,2018,51,1396.0,88.7,5.0,15972,8077,0,1,0,0,0,1,1,0,0,0
70,2008,19,4806.0,500.0,5.0,22057,45360,0,0,0,1,1,0,1,0,0,0
71,2015,35,2179.0,140.0,7.0,14679,34628,0,1,0,0,0,1,1,0,0,0
72,2012,39,1197.0,78.9,5.0,5293,28072,0,0,0,1,1,0,1,0,0,0
73,2015,46,1461.0,108.5,5.0,10526,34837,0,1,0,0,0,1,1,0,0,0
74,2016,38,1198.0,86.8,5.0,9827,23177,0,0,0,1,1,0,0,0,1,0
75,2014,43,1968.0,187.74,5.0,44875,34796,0,1,0,0,1,0,0,0,1,0
76,2006,29,1998.0,132.0,8.0,6845,142915,0,0,0,1,0,1,0,0,0,1
77,2012,30,2494.0,102.0,7.0,17874,64622,0,1,0,0,0,1,1,0,0,0
78,2012,53,1248.0,74.0,5.0,5704,59092,0,1,0,0,0,1,1,0,0,0
79,2017,41,1193.0,88.7,5.0,6845,43495,0,0,0,1,0,1,1,0,0,0
80,2016,42,1198.0,86.7,5.0,7332,34140,0,0,0,1,0,1,1,0,0,0
81,2012,47,1399.0,68.0,5.0,4259,43705,0,1,0,0,0,1,1,0,0,0
82,2013,54,1248.0,73.94,5.0,4730,61912,0,1,0,0,0,1,1,0,0,0
83,2009,41,1497.0,117.3,5.0,4943,32311,0,0,0,1,0,1,1,0,0,0
84,2011,39,1995.0,218.0,5.0,21144,46602,0,1,0,0,1,0,0,0,1,0
85,2009,47,1197.0,78.9,5.0,3422,59639,0,0,0,1,0,1,1,0,0,0
86,2016,44,1197.0,82.0,5.0,8747,9941,0,0,0,1,0,1,1,0,0,0
87,2016,41,1198.0,86.7,5.0,7606,11774,0,0,0,1,0,1,1,0,0,0
88,2014,30,2982.0,168.5,7.0,25100,66486,0,1,0,0,0,1,1,0,0,0
89,2018,41,1968.0,174.33,5.0,60209,30053,0,1,0,0,1,0,1,0,0,0
90,2013,53,1498.0,89.84,5.0,8366,35418,0,1,0,0,0,1,1,0,0,0
91,2014,35,2179.0,140.0,7.0,12321,36039,0,1,0,0,0,1,1,0,0,0
92,2015,60,1498.0,98.6,5.0,5324,18641,0,1,0,0,0,1,1,0,0,0
93,2013,51,1199.0,73.9,5.0,4244,21258,0,1,0,0,0,1,1,0,0,0
94,2010,38,1493.0,110.0,5.0,5248,43497,0,1,0,0,0,1,1,0,0,0
95,2016,44,998.0,67.1,5.0,6769,38525,0,0,0,1,0,1,1,0,0,0
96,2010,35,1598.0,103.5,5.0,4031,38525,0,0,0,1,0,1,1,0,0,0
97,2011,54,1396.0,90.0,5.0,5780,49062,0,1,0,0,0,1,0,0,1,0
98,2014,43,1197.0,82.85,5.0,7073,18752,0,0,0,1,0,1,1,0,0,0
99,2017,46,1198.0,67.0,7.0,6008,20412,0,0,0,1,0,1,1,0,0,0
100,2010,35,2967.0,241.4,5.0,14907,18641,0,1,0,0,1,0,1,0,0,0
101,2009,39,1197.0,80.0,5.0,4107,41010,0,0,0,1,0,1,0,0,1,0
102,2010,32,796.0,35.0,5.0,3666,58315,0,0,0,1,0,1,1,0,0,0
103,2014,41,1197.0,78.9,5.0,5932,32932,0,0,0,1,0,1,1,0,0,0
104,2011,34,2993.0,270.9,5.0,36509,48466,0,1,0,0,1,0,0,0,1,0
105,2012,37,2179.0,140.0,7.0,8747,40389,0,1,0,0,0,1,0,0,1,0
106,2014,52,1582.0,126.32,5.0,7986,24854,0,1,0,0,1,0,1,0,0,0
107,2017,26,2755.0,171.5,7.0,29283,18641,0,1,0,0,1,0,1,0,0,0
108,2017,35,1196.0,73.0,5.0,5947,23645,0,0,0,1,0,1,1,0,0,0
109,2014,59,624.0,37.5,4.0,3270,15844,0,0,0,1,0,1,1,0,0,0
110,2015,53,1995.0,190.0,5.0,31565,34850,0,1,0,0,1,0,1,0,0,0
111,2010,31,1799.0,130.0,5.0,5096,44172,0,0,0,1,0,1,1,0,0,0
112,2014,30,2494.0,100.6,7.0,16900,34175,0,1,0,0,0,1,1,0,0,0
113,2014,54,1984.0,150.0,5.0,30424,20318,0,1,0,0,1,0,1,0,0,0
114,2016,45,1198.0,75.94,5.0,9963,24781,0,0,0,1,1,0,1,0,0,0
115,2009,25,2497.0,215.0,5.0,10648,79535,0,0,0,1,1,0,1,0,0,0
116,2016,57,1248.0,88.5,5.0,11409,34175,0,1,0,0,0,1,1,0,0,0
117,2014,35,2143.0,107.3,5.0,25480,33400,0,1,0,0,1,0,0,0,1,0
118,2018,51,1582.0,126.2,5.0,16657,6369,0,1,0,0,0,1,1,0,0,0
119,2011,44,998.0,67.1,5.0,3726,27262,0,0,0,1,0,1,1,0,0,0
120,2017,51,624.0,37.48,4.0,4913,20308,0,0,0,1,1,0,1,0,0,0
121,2014,28,2179.0,120.0,8.0,11789,26097,0,1,0,0,0,1,1,0,0,0
122,2009,27,1796.0,178.0,5.0,14223,17617,0,0,0,1,1,0,1,0,0,0
123,2013,62,998.0,58.16,5.0,4943,55861,1,0,0,0,0,1,1,0,0,0
124,2007,25,2354.0,152.0,5.0,7986,29639,0,0,0,1,0,1,0,0,1,0
125,2015,49,1498.0,103.2,5.0,11028,34175,0,1,0,0,1,0,1,0,0,0
126,2017,48,1373.0,91.1,5.0,11363,27517,0,0,0,1,0,1,1,0,0,0
127,2016,37,2179.0,140.0,7.0,20156,33554,0,1,0,0,1,0,1,0,0,0
128,2016,49,1197.0,85.8,5.0,8838,18785,0,0,0,1,0,1,1,0,0,0
129,2014,56,998.0,67.1,5.0,3955,54991,0,0,0,1,0,1,1,0,0,0
130,2017,44,2996.0,362.07,2.0,82145,8308,0,0,0,1,1,0,1,0,0,0
131,2019,39,1591.0,121.3,5.0,17494,7857,0,0,0,1,1,0,1,0,0,0
132,2010,46,796.0,46.3,5.0,2433,58648,0,0,0,1,0,1,0,0,1,0
133,2015,48,1995.0,143.0,5.0,26195,19772,0,1,0,0,1,0,1,0,0,0
134,2015,44,1199.0,88.7,5.0,9127,7456,0,0,0,1,1,0,1,0,0,0
135,2012,31,1799.0,130.0,5.0,6008,55039,0,0,0,1,0,1,1,0,0,0
136,2014,45,2143.0,170.0,5.0,27305,27939,0,1,0,0,1,0,1,0,0,0
137,2014,60,1498.0,98.6,5.0,5628,27989,0,1,0,0,0,1,1,0,0,0
138,2016,51,1197.0,81.8,5.0,8260,21253,0,0,0,1,0,1,1,0,0,0
139,2012,27,2982.0,171.0,7.0,20521,56690,0,1,0,0,0,1,1,0,0,0
140,2014,43,1199.0,76.8,5.0,4335,24109,0,0,0,1,0,1,1,0,0,0
141,2013,49,1498.0,103.52,5.0,7225,51573,0,1,0,0,0,1,1,0,0,0
142,2018,48,1373.0,91.1,5.0,15060,25652,0,0,0,1,0,1,1,0,0,0
143,2013,25,2894.0,444.0,4.0,56285,14291,0,0,0,1,1,0,1,0,0,0
144,2014,51,1995.0,190.0,5.0,40312,29825,0,1,0,0,1,0,1,0,0,0
145,2015,40,1968.0,174.33,5.0,35474,29958,0,1,0,0,1,0,1,0,0,0
146,2016,53,1248.0,74.0,5.0,9507,21747,0,1,0,0,0,1,1,0,0,0
147,2010,18,5461.0,362.9,5.0,45636,21920,0,0,0,1,1,0,1,0,0,0
148,2016,50,1498.0,103.52,5.0,14999,33939,0,1,0,0,1,0,1,0,0,0
149,2012,40,1968.0,138.1,5.0,12930,85125,0,1,0,0,1,0,1,0,0,0
150,2019,49,814.0,55.2,5.0,6434,8899,0,0,0,1,0,1,1,0,0,0
151,2012,51,1199.0,73.9,5.0,5324,40783,0,1,0,0,0,1,1,0,0,0
152,2016,48,1198.0,67.06,5.0,3803,3728,0,0,0,1,0,1,1,0,0,0
153,2013,45,1198.0,86.8,5.0,3635,20679,0,0,0,1,0,1,1,0,0,0
154,2013,34,1595.0,120.7,5.0,17113,18019,0,0,0,1,1,0,1,0,0,0
155,2015,61,1498.0,98.6,5.0,10815,26613,0,1,0,0,0,1,1,0,0,0
156,2016,30,2494.0,100.6,7.0,16581,55923,0,1,0,0,0,1,1,0,0,0
157,2017,47,1197.0,81.8,5.0,9431,14916,0,0,0,1,0,1,1,0,0,0
158,2012,35,2179.0,140.0,7.0,12017,20375,0,1,0,0,0,1,1,0,0,0
159,2014,53,1498.0,89.84,5.0,6723,91899,0,1,0,0,0,1,1,0,0,0
160,2012,30,2982.0,168.5,7.0,20536,81874,0,1,0,0,0,1,1,0,0,0
161,2013,50,1498.0,108.5,5.0,9507,40389,0,1,0,0,1,0,1,0,0,0
162,2010,47,1399.0,68.0,5.0,3194,41086,0,1,0,0,0,1,0,0,1,0
163,2015,35,2993.0,258.0,5.0,68454,25476,0,1,0,0,1,0,1,0,0,0
164,2017,45,2143.0,167.62,5.0,51204,14633,0,1,0,0,1,0,1,0,0,0
165,2012,45,1198.0,86.8,5.0,5552,27961,0,0,0,1,0,1,0,0,1,0
166,2013,47,1197.0,78.9,5.0,4183,37282,0,0,0,1,0,1,1,0,0,0
167,2016,42,2143.0,170.0,5.0,64651,27597,0,1,0,0,1,0,1,0,0,0
168,2019,44,1197.0,81.86,5.0,9887,621,0,0,0,1,0,1,1,0,0,0
169,2012,41,1968.0,174.33,5.0,28903,38835,0,1,0,0,1,0,0,0,1,0
170,2013,33,1598.0,103.6,5.0,6769,13048,0,0,0,1,1,0,0,0,1,0
171,2017,39,1998.0,112.0,5.0,34988,5297,0,1,0,0,1,0,0,0,1,0
172,2014,53,1396.0,88.73,5.0,12702,18019,0,1,0,0,0,1,1,0,0,0
173,2014,41,1968.0,174.33,5.0,34911,24854,0,1,0,0,1,0,1,0,0,0
174,2012,59,936.0,57.6,5.0,2281,54680,0,1,0,0,0,1,1,0,0,0
175,2012,32,1798.0,157.75,5.0,10481,33266,0,0,0,1,1,0,1,0,0,0
176,2006,41,1399.0,68.0,5.0,2205,134216,0,1,0,0,0,1,0,0,1,0
177,2014,52,1995.0,190.0,5.0,50960,31689,0,1,0,0,1,0,1,0,0,0
178,2007,30,1598.0,102.5,5.0,1901,73632,0,0,0,1,0,1,1,0,0,0
179,2012,51,1199.0,73.9,5.0,6389,39146,0,1,0,0,0,1,1,0,0,0
180,2015,46,1461.0,108.5,8.0,10268,15534,0,1,0,0,0,1,1,0,0,0
181,2014,30,2143.0,201.1,5.0,48679,23228,0,1,0,0,1,0,1,0,0,0
182,2017,50,1197.0,83.1,5.0,11409,15393,0,0,0,1,0,1,1,0,0,0
183,2012,52,1582.0,126.32,5.0,6997,38525,0,1,0,0,0,1,1,0,0,0
184,2017,46,1086.0,68.05,5.0,6145,32522,0,0,0,1,0,1,1,0,0,0
185,2016,36,1997.0,120.0,7.0,15683,35255,0,1,0,0,0,1,1,0,0,0
186,2018,29,2179.0,187.7,5.0,84823,22425,0,1,0,0,1,0,1,0,0,0
187,2010,47,1399.0,68.0,5.0,3955,74564,0,1,0,0,0,1,1,0,0,0
188,2016,59,1248.0,88.5,7.0,12930,20505,0,1,0,0,0,1,1,0,0,0
189,2014,60,1498.0,98.6,5.0,5324,32311,0,1,0,0,0,1,1,0,0,0
190,2015,47,1197.0,78.9,5.0,5400,27073,0,0,0,1,0,1,1,0,0,0
191,2013,60,1498.0,98.6,5.0,4943,31068,0,1,0,0,0,1,1,0,0,0
192,2008,41,1896.0,106.0,5.0,6845,70214,0,1,0,0,0,1,1,0,0,0
193,2014,46,1461.0,83.8,5.0,8138,55923,0,1,0,0,0,1,1,0,0,0
194,2017,41,1493.0,100.0,7.0,9887,18019,0,1,0,0,0,1,0,0,1,0
195,2016,57,1248.0,88.5,5.0,13690,12427,0,1,0,0,0,1,1,0,0,0
196,2016,43,1197.0,81.83,5.0,9127,37911,0,0,0,1,0,1,1,0,0,0
197,2009,34,1390.0,85.0,5.0,4183,54344,0,0,0,1,0,1,1,0,0,0
198,2010,36,1193.0,64.1,5.0,2281,43806,0,0,0,1,0,1,1,0,0,0
199,2015,36,1968.0,174.33,5.0,30272,39831,0,1,0,0,1,0,1,0,0,0
200,2014,34,1798.0,177.5,5.0,15212,47224,0,0,0,1,1,0,1,0,0,0
201,2014,55,1364.0,67.06,5.0,4563,64622,0,1,0,0,0,1,1,0,0,0
202,2014,34,1595.0,120.7,5.0,18193,23142,0,0,0,1,1,0,1,0,0,0
203,2013,64,1498.0,98.6,5.0,4943,27961,0,1,0,0,0,1,1,0,0,0
204,2012,52,1582.0,126.32,5.0,7225,73220,0,1,0,0,0,1,0,0,1,0
205,2014,48,1461.0,83.8,5.0,9051,18641,0,1,0,0,0,1,1,0,0,0
206,2015,35,1591.0,121.3,5.0,12397,16812,0,0,0,1,0,1,0,0,1,0
207,2016,48,998.0,67.0,5.0,6419,5281,0,0,0,1,1,0,1,0,0,0
208,2010,27,1796.0,186.0,5.0,15972,18951,0,0,0,1,1,0,1,0,0,0
209,2012,27,2967.0,246.7,5.0,68454,34796,0,1,0,0,1,0,1,0,0,0
210,2012,46,1086.0,68.05,5.0,4411,27340,0,0,0,1,0,1,0,0,1,0
211,2017,33,1598.0,103.52,5.0,13538,6524,0,0,0,1,1,0,1,0,0,0
212,2017,34,1798.0,177.46,5.0,39551,16155,0,0,0,1,1,0,1,0,0,0
213,2018,40,1197.0,81.86,5.0,12504,15637,0,0,0,1,0,1,1,0,0,0
214,2014,60,1498.0,98.6,5.0,5324,39767,0,1,0,0,0,1,0,0,1,0
215,2004,44,998.0,67.1,5.0,1901,37903,0,0,0,1,0,1,0,0,1,0
216,2013,49,1461.0,65.0,5.0,5628,66486,0,1,0,0,0,1,1,0,0,0
217,2018,45,2143.0,167.62,5.0,59951,18119,0,1,0,0,1,0,1,0,0,0
218,2013,52,998.0,67.04,5.0,4031,19883,0,0,0,1,0,1,1,0,0,0
219,2015,44,1461.0,108.5,5.0,13569,28690,0,1,0,0,0,1,0,0,1,0
220,2017,39,1998.0,189.08,4.0,54261,16358,0,0,0,1,1,0,1,0,0,0
221,2007,40,1396.0,53.5,5.0,1293,124274,0,1,0,0,0,1,0,0,1,0
222,2016,43,1199.0,76.8,5.0,5050,37787,0,0,0,1,0,1,0,0,1,0
223,2012,51,1199.0,73.9,5.0,5476,27961,0,1,0,0,0,1,1,0,0,0
224,2016,53,1248.0,74.0,5.0,10344,39767,0,1,0,0,0,1,1,0,0,0
225,2012,47,1399.0,68.05,5.0,3803,25652,0,1,0,0,0,1,1,0,0,0
226,2019,26,2755.0,171.5,7.0,29876,8801,0,1,0,0,1,0,1,0,0,0
227,2011,27,2199.0,194.3,7.0,10648,41631,0,1,0,0,1,0,0,0,1,0
228,2011,40,1497.0,117.3,5.0,5887,20239,0,0,0,1,0,1,1,0,0,0
229,2018,43,1197.0,81.83,5.0,9538,9295,0,0,0,1,0,1,1,0,0,0
230,2015,45,2143.0,167.62,5.0,27564,34784,0,1,0,0,1,0,1,0,0,0
231,2013,59,936.0,57.6,5.0,4031,45981,0,1,0,0,0,1,1,0,0,0
232,2015,53,1396.0,88.73,5.0,10952,35323,0,1,0,0,0,1,1,0,0,0
233,2015,30,2494.0,100.6,7.0,21753,75418,0,1,0,0,0,1,1,0,0,0
234,2013,48,1248.0,88.76,7.0,10496,32311,0,1,0,0,0,1,1,0,0,0
235,2014,30,2494.0,102.0,7.0,16353,73321,0,1,0,0,0,1,1,0,0,0
236,2016,41,1497.0,117.3,5.0,12306,21073,0,0,0,1,0,1,1,0,0,0
237,2014,40,1995.0,184.0,5.0,28142,50953,0,1,0,0,1,0,1,0,0,0
238,2017,56,1120.0,70.0,5.0,7225,20505,0,1,0,0,0,1,1,0,0,0
239,2016,66,1248.0,88.5,5.0,12854,21126,0,1,0,0,0,1,1,0,0,0
240,2012,48,1598.0,103.6,5.0,5324,34175,0,1,0,0,0,1,1,0,0,0
241,2006,30,1493.0,82.0,5.0,2738,99753,0,1,0,0,0,1,1,0,0,0
242,2014,46,1498.0,103.6,5.0,5628,37282,0,1,0,0,0,1,0,0,1,0
243,2017,43,1199.0,88.7,5.0,10907,30804,0,0,0,1,0,1,1,0,0,0
244,2010,46,1086.0,68.05,5.0,2662,51573,0,0,0,1,0,1,1,0,0,0
245,2018,38,1995.0,183.0,5.0,33451,31904,0,1,0,0,1,0,1,0,0,0
246,2017,32,2393.0,147.8,7.0,28370,26718,0,1,0,0,0,1,1,0,0,0
247,2011,46,796.0,35.0,5.0,2814,21747,0,0,0,1,0,1,0,0,0,1
248,2017,47,1197.0,81.8,5.0,9051,17318,0,0,0,1,0,1,0,0,1,0
249,2014,44,1197.0,82.0,5.0,5704,10261,0,0,0,1,0,1,1,0,0,0
250,2012,53,1248.0,74.0,5.0,5704,74564,0,1,0,0,0,1,1,0,0,0
251,2008,51,1582.0,126.2,5.0,3955,89026,0,1,0,0,0,1,1,0,0,0
252,2010,39,1197.0,80.0,5.0,4259,32311,0,0,0,1,0,1,1,0,0,0
253,2017,27,2987.0,254.79,5.0,93235,18528,0,1,0,0,1,0,1,0,0,0
254,2014,37,2148.0,170.0,5.0,27381,35418,0,1,0,0,0,1,0,0,1,0
255,2014,54,1248.0,73.94,5.0,6617,54991,0,1,0,0,0,1,1,0,0,0
256,2016,46,1582.0,126.2,5.0,20916,17398,0,1,0,0,0,1,1,0,0,0
257,2010,44,998.0,66.1,5.0,3042,41631,0,0,0,1,0,1,1,0,0,0
258,2016,46,1461.0,108.45,5.0,15212,16155,0,1,0,0,0,1,1,0,0,0
259,2010,41,1248.0,76.0,5.0,2510,74564,0,1,0,0,0,1,1,0,0,0
260,2017,38,2993.0,258.0,5.0,69626,32300,0,1,0,0,1,0,1,0,0,0
261,2010,47,1197.0,78.9,5.0,4943,22369,0,0,0,1,0,1,0,0,1,0
262,2016,30,2494.0,102.0,7.0,19471,29204,0,1,0,0,0,1,1,0,0,0
263,2002,40,993.0,60.0,5.0,836,37282,0,0,0,1,0,1,0,0,0,1
264,2018,66,1248.0,74.0,5.0,10876,19278,0,1,0,0,0,1,1,0,0,0
265,2013,28,2179.0,120.0,8.0,10648,65243,0,1,0,0,0,1,0,0,1,0
266,2017,53,1248.0,74.0,5.0,5704,75745,0,1,0,0,0,1,1,0,0,0
267,2017,44,999.0,123.24,5.0,12930,14102,0,0,0,1,0,1,1,0,0,0
268,2012,55,1248.0,74.0,5.0,6617,45360,0,1,0,0,0,1,1,0,0,0
269,2016,53,796.0,47.3,5.0,4959,20024,0,0,0,1,0,1,1,0,0,0
270,2011,39,1497.0,118.0,5.0,6404,34175,0,0,0,1,0,1,1,0,0,0
271,2018,28,2967.0,241.4,7.0,107033,7013,0,1,0,0,1,0,1,0,0,0
272,2009,39,1896.0,105.0,5.0,4487,29825,0,1,0,0,1,0,0,0,1,0
273,2012,40,1591.0,121.3,5.0,6510,33745,0,0,0,1,0,1,1,0,0,0
274,2009,39,1497.0,118.0,5.0,5430,48741,0,0,0,1,1,0,1,0,0,0
275,2013,51,1396.0,88.8,5.0,4730,28583,0,1,0,0,0,1,1,0,0,0
276,2014,35,1396.0,98.6,5.0,9066,27993,0,0,0,1,1,0,1,0,0,0
277,2011,48,1598.0,103.6,5.0,7149,42874,0,1,0,0,0,1,1,0,0,0
278,2014,40,1497.0,117.3,5.0,10496,30447,0,0,0,1,0,1,1,0,0,0
279,2018,53,1248.0,74.0,5.0,7986,27961,0,1,0,0,0,1,1,0,0,0
280,2015,43,1995.0,177.0,5.0,42594,39767,0,1,0,0,1,0,1,0,0,0
281,2009,44,1061.0,67.0,5.0,2053,37282,0,0,0,1,0,1,1,0,0,0
282,2015,42,1199.0,88.7,5.0,7377,38635,0,0,0,1,0,1,1,0,0,0
283,2012,35,1896.0,105.0,5.0,10192,36043,0,1,0,0,0,1,1,0,0,0
284,2010,47,1197.0,78.9,5.0,4715,45981,0,0,0,1,0,1,1,0,0,0
285,2015,45,2143.0,170.0,5.0,28355,48324,0,1,0,0,1,0,1,0,0,0
286,2012,47,1197.0,78.9,5.0,4259,28132,0,0,0,1,0,1,1,0,0,0
287,2016,32,2393.0,147.8,7.0,30804,29825,0,1,0,0,0,1,1,0,0,0
288,2015,41,1968.0,174.33,5.0,40738,19667,0,1,0,0,1,0,1,0,0,0
289,2010,30,2494.0,100.6,7.0,12565,67729,0,1,0,0,0,1,0,0,1,0
290,2015,38,1198.0,73.9,5.0,5917,19870,0,0,0,1,0,1,1,0,0,0
291,2011,49,998.0,67.1,5.0,3194,43495,0,0,0,1,0,1,1,0,0,0
292,2017,42,1497.0,117.3,5.0,19304,9320,0,0,0,1,1,0,1,0,0,0
293,2013,39,1405.0,70.0,5.0,3924,36746,0,1,0,0,0,1,1,0,0,0
294,2014,41,1968.0,174.33,5.0,31595,38354,0,1,0,0,1,0,1,0,0,0
295,2015,42,2143.0,136.0,5.0,30819,29825,0,1,0,0,1,0,1,0,0,0
296,2014,54,998.0,67.04,5.0,6465,48351,0,0,0,1,1,0,1,0,0,0
297,2017,42,2143.0,201.15,5.0,86709,18019,0,1,0,0,1,0,1,0,0,0
