,Year,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Miles_Driven
35,2009,Petrol,Manual,Second,32,1061.0,64.0,5.0,2814,52080
36,2018,Diesel,Manual,First,57,1248.0,88.5,5.0,13128,31115
37,2017,Petrol,Manual,First,42,1198.0,82.0,5.0,7377,32311
38,2013,Diesel,Automatic,First,27,2987.0,254.8,5.0,42594,52816
39,2013,Diesel,Manual,First,51,1199.0,73.9,5.0,7606,38525
40,2008,Petrol,Manual,Second,46,796.0,46.3,5.0,1901,55923
41,2014,Petrol,Manual,First,59,624.0,37.5,4.0,2327,12239
42,2017,Diesel,Manual,First,59,1198.0,77.0,6.0,8488,13690
43,2014,Petrol,Manual,First,43,1197.0,82.9,5.0,7210,22050
44,2014,Petrol,Automatic,First,34,1999.0,149.92,5.0,13462,28815
45,2016,Petrol,Automatic,First,33,1798.0,138.03,5.0,15379,32311
46,2008,Diesel,Manual,Second,35,1991.0,112.2,5.0,6465,36042
47,2012,Petrol,Manual,First,26,2694.0,163.7,7.0,16657,43933
48,2014,Diesel,Manual,First,57,1120.0,71.0,5.0,5856,46602
49,2012,Diesel,Manual,Second,38,2498.0,105.0,6.0,8366,47099
50,2015,Diesel,Automatic,First,40,1968.0,174.33,5.0,32599,8480
51,2014,Diesel,Manual,First,53,1248.0,74.0,5.0,6465,32311
52,2014,Diesel,Manual,First,41,1248.0,75.0,5.0,5020,32932
53,2013,Diesel,Manual,First,66,1248.0,74.0,5.0,5856,40793
54,2015,Petrol,Manual,Third,44,1197.0,82.0,5.0,5476,33554
55,2015,Petrol,Manual,First,35,1598.0,103.2,5.0,6069,24233
56,2017,Petrol,Manual,First,59,799.0,53.3,5.0,5020,10278
57,2010,Petrol,Manual,First,47,1197.0,78.9,5.0,3148,19883
58,2010,Diesel,Automatic,First,31,1995.0,147.6,5.0,11789,75690
59,2010,Petrol,Manual,First,42,998.0,67.1,5.0,3422,24419
60,2017,Diesel,Manual,First,32,2393.0,147.8,8.0,25100,13670
61,2010,Diesel,Manual,First,47,1399.0,68.0,5.0,4183,44738
62,2015,Petrol,Automatic,First,27,1796.0,186.0,5.0,40616,36039
63,2011,Diesel,Manual,Second,37,2148.0,170.0,5.0,15212,40389
64,2016,Diesel,Manual,First,58,1396.0,69.0,5.0,3803,110604
65,2012,Diesel,Automatic,First,38,1968.0,140.0,5.0,20536,40801
66,2007,Petrol,Automatic,Second,38,1497.0,78.0,5.0,2814,39146
67,2019,Diesel,Automatic,First,0,1950.0,194.0,5.0,54261,9549
68,2016,Diesel,Manual,First,57,1248.0,88.5,7.0,12397,39146
69,2018,Diesel,Manual,First,51,1396.0,88.7,5.0,15972,8077
70,2008,Petrol,Automatic,First,19,4806.0,500.0,5.0,22057,45360
71,2015,Diesel,Manual,First,35,2179.0,140.0,7.0,14679,34628
72,2012,Petrol,Automatic,First,39,1197.0,78.9,5.0,5293,28072
73,2015,Diesel,Manual,First,46,1461.0,108.5,5.0,10526,34837
74,2016,Petrol,Automatic,Second,38,1198.0,86.8,5.0,9827,23177
75,2014,Diesel,Automatic,Second,43,1968.0,187.74,5.0,44875,34796
76,2006,Petrol,Manual,Third,29,1998.0,132.0,8.0,6845,142915
77,2012,Diesel,Manual,First,30,2494.0,102.0,7.0,17874,64622
78,2012,Diesel,Manual,First,53,1248.0,74.0,5.0,5704,59092
79,2017,Petrol,Manual,First,41,1193.0,88.7,5.0,6845,43495
80,2016,Petrol,Manual,First,42,1198.0,86.7,5.0,7332,34140
81,2012,Diesel,Manual,First,47,1399.0,68.0,5.0,4259,43705
82,2013,Diesel,Manual,First,54,1248.0,73.94,5.0,4730,61912
83,2009,Petrol,Manual,First,41,1497.0,117.3,5.0,4943,32311
84,2011,Diesel,Automatic,Second,39,1995.0,218.0,5.0,21144,46602
85,2009,Petrol,Manual,First,47,1197.0,78.9,5.0,3422,59639
86,2016,Petrol,Manual,First,44,1197.0,82.0,5.0,8747,9941
87,2016,Petrol,Manual,First,41,1198.0,86.7,5.0,7606,11774
88,2014,Diesel,Manual,First,30,2982.0,168.5,7.0,25100,66486
89,2018,Diesel,Automatic,First,41,1968.0,174.33,5.0,60209,30053
90,2013,Diesel,Manual,First,53,1498.0,89.84,5.0,8366,35418
91,2014,Diesel,Manual,First,35,2179.0,140.0,7.0,12321,36039
92,2015,Diesel,Manual,First,60,1498.0,98.6,5.0,5324,18641
93,2013,Diesel,Manual,First,51,1199.0,73.9,5.0,4244,21258
94,2010,Diesel,Manual,First,38,1493.0,110.0,5.0,5248,43497
95,2016,Petrol,Manual,First,44,998.0,67.1,5.0,6769,38525
96,2010,Petrol,Manual,First,35,1598.0,103.5,5.0,4031,38525
97,2011,Diesel,Manual,Second,54,1396.0,90.0,5.0,5780,49062
98,2014,Petrol,Manual,First,43,1197.0,82.85,5.0,7073,18752
99,2017,Petrol,Manual,First,46,1198.0,67.0,7.0,6008,20412
100,2010,Diesel,Automatic,First,35,2967.0,241.4,5.0,14907,18641
101,2009,Petrol,Manual,Second,39,1197.0,80.0,5.0,4107,41010
102,2010,Petrol,Manual,First,32,796.0,35.0,5.0,3666,58315
103,2014,Petrol,Manual,First,41,1197.0,78.9,5.0,5932,32932
104,2011,Diesel,Automatic,Second,34,2993.0,270.9,5.0,36509,48466
105,2012,Diesel,Manual,Second,37,2179.0,140.0,7.0,8747,40389
106,2014,Diesel,Automatic,First,52,1582.0,126.32,5.0,7986,24854
107,2017,Diesel,Automatic,First,26,2755.0,171.5,7.0,29283,18641
108,2017,Petrol,Manual,First,35,1196.0,73.0,5.0,5947,23645
109,2014,Petrol,Manual,First,59,624.0,37.5,4.0,3270,15844
110,2015,Diesel,Automatic,First,53,1995.0,190.0,5.0,31565,34850
111,2010,Petrol,Manual,First,31,1799.0,130.0,5.0,5096,44172
112,2014,Diesel,Manual,First,30,2494.0,100.6,7.0,16900,34175
113,2014,Diesel,Automatic,First,54,1984.0,150.0,5.0,30424,20318
114,2016,Petrol,Automatic,First,45,1198.0,75.94,5.0,9963,24781
115,2009,Petrol,Automatic,First,25,2497.0,215.0,5.0,10648,79535
116,2016,Diesel,Manual,First,57,1248.0,88.5,5.0,11409,34175
117,2014,Diesel,Automatic,Second,35,2143.0,107.3,5.0,25480,33400
118,2018,Diesel,Manual,First,51,1582.0,126.2,5.0,16657,6369
119,2011,Petrol,Manual,First,44,998.0,67.1,5.0,3726,27262
120,2017,Petrol,Automatic,First,51,624.0,37.48,4.0,4913,20308
121,2014,Diesel,Manual,First,28,2179.0,120.0,8.0,11789,26097
122,2009,Petrol,Automatic,First,27,1796.0,178.0,5.0,14223,17617
123,2013,CNG,Manual,First,62,998.0,58.16,5.0,4943,55861
124,2007,Petrol,Manual,Second,25,2354.0,152.0,5.0,7986,29639
125,2015,Diesel,Automatic,First,49,1498.0,103.2,5.0,11028,34175
126,2017,Petrol,Manual,First,48,1373.0,91.1,5.0,11363,27517
127,2016,Diesel,Automatic,First,37,2179.0,140.0,7.0,20156,33554
128,2016,Petrol,Manual,First,49,1197.0,85.8,5.0,8838,18785
129,2014,Petrol,Manual,First,56,998.0,67.1,5.0,3955,54991
130,2017,Petrol,Automatic,First,44,2996.0,362.07,2.0,82145,8308
131,2019,Petrol,Automatic,First,39,1591.0,121.3,5.0,17494,7857
132,2010,Petrol,Manual,Second,46,796.0,46.3,5.0,2433,58648
133,2015,Diesel,Automatic,First,48,1995.0,143.0,5.0,26195,19772
134,2015,Petrol,Automatic,First,44,1199.0,88.7,5.0,9127,7456
135,2012,Petrol,Manual,First,31,1799.0,130.0,5.0,6008,55039
136,2014,Diesel,Automatic,First,45,2143.0,170.0,5.0,27305,27939
137,2014,Diesel,Manual,First,60,1498.0,98.6,5.0,5628,27989
138,2016,Petrol,Manual,First,51,1197.0,81.8,5.0,8260,21253
139,2012,Diesel,Manual,First,27,2982.0,171.0,7.0,20521,56690
140,2014,Petrol,Manual,First,43,1199.0,76.8,5.0,4335,24109
141,2013,Diesel,Manual,First,49,1498.0,103.52,5.0,7225,51573
142,2018,Petrol,Manual,First,48,1373.0,91.1,5.0,15060,25652
143,2013,Petrol,Automatic,First,25,2894.0,444.0,4.0,56285,14291
144,2014,Diesel,Automatic,First,51,1995.0,190.0,5.0,40312,29825
145,2015,Diesel,Automatic,First,40,1968.0,174.33,5.0,35474,29958
146,2016,Diesel,Manual,First,53,1248.0,74.0,5.0,9507,21747
147,2010,Petrol,Automatic,First,18,5461.0,362.9,5.0,45636,21920
148,2016,Diesel,Automatic,First,50,1498.0,103.52,5.0,14999,33939
149,2012,Diesel,Automatic,First,40,1968.0,138.1,5.0,12930,85125
150,2019,Petrol,Manual,First,49,814.0,55.2,5.0,6434,8899
151,2012,Diesel,Manual,First,51,1199.0,73.9,5.0,5324,40783
152,2016,Petrol,Manual,First,48,1198.0,67.06,5.0,3803,3728
153,2013,Petrol,Manual,First,45,1198.0,86.8,5.0,3635,20679
154,2013,Petrol,Automatic,First,34,1595.0,120.7,5.0,17113,18019
155,2015,Diesel,Manual,First,61,1498.0,98.6,5.0,10815,26613
156,2016,Diesel,Manual,First,30,2494.0,100.6,7.0,16581,55923
157,2017,Petrol,Manual,First,47,1197.0,81.8,5.0,9431,14916
158,2012,Diesel,Manual,First,35,2179.0,140.0,7.0,12017,20375
159,2014,Diesel,Manual,First,53,1498.0,89.84,5.0,6723,91899
160,2012,Diesel,Manual,First,30,2982.0,168.5,7.0,20536,81874
161,2013,Diesel,Automatic,First,50,1498.0,108.5,5.0,9507,40389
162,2010,Diesel,Manual,Second,47,1399.0,68.0,5.0,3194,41086
163,2015,Diesel,Automatic,First,35,2993.0,258.0,5.0,68454,25476
164,2017,Diesel,Automatic,First,45,2143.0,167.62,5.0,51204,14633
165,2012,Petrol,Manual,Second,45,1198.0,86.8,5.0,5552,27961
166,2013,Petrol,Manual,First,47,1197.0,78.9,5.0,4183,37282
167,2016,Diesel,Automatic,First,42,2143.0,170.0,5.0,64651,27597
168,2019,Petrol,Manual,First,44,1197.0,81.86,5.0,9887,621
169,2012,Diesel,Automatic,Second,41,1968.0,174.33,5.0,28903,38835
170,2013,Petrol,Automatic,Second,33,1598.0,103.6,5.0,6769,13048
171,2017,Diesel,Automatic,Second,39,1998.0,112.0,5.0,34988,5297
172,2014,Diesel,Manual,First,53,1396.0,88.73,5.0,12702,18019
173,2014,Diesel,Automatic,First,41,1968.0,174.33,5.0,34911,24854
174,2012,Diesel,Manual,First,59,936.0,57.6,5.0,2281,54680
175,2012,Petrol,Automatic,First,32,1798.0,157.75,5.0,10481,33266
176,2006,Diesel,Manual,Second,41,1399.0,68.0,5.0,2205,134216
177,2014,Diesel,Automatic,First,52,1995.0,190.0,5.0,50960,31689
178,2007,Petrol,Manual,First,30,1598.0,102.5,5.0,1901,73632
179,2012,Diesel,Manual,First,51,1199.0,73.9,5.0,6389,39146
180,2015,Diesel,Manual,First,46,1461.0,108.5,8.0,10268,15534
181,2014,Diesel,Automatic,First,30,2143.0,201.1,5.0,48679,23228
182,2017,Petrol,Manual,First,50,1197.0,83.1,5.0,11409,15393
183,2012,Diesel,Manual,First,52,1582.0,126.32,5.0,6997,38525
184,2017,Petrol,Manual,First,46,1086.0,68.05,5.0,6145,32522
185,2016,Diesel,Manual,First,36,1997.0,120.0,7.0,15683,35255
186,2018,Diesel,Automatic,First,29,2179.0,187.7,5.0,84823,22425
187,2010,Diesel,Manual,First,47,1399.0,68.0,5.0,3955,74564
188,2016,Diesel,Manual,First,59,1248.0,88.5,7.0,12930,20505
189,2014,Diesel,Manual,First,60,1498.0,98.6,5.0,5324,32311
190,2015,Petrol,Manual,First,47,1197.0,78.9,5.0,5400,27073
191,2013,Diesel,Manual,First,60,1498.0,98.6,5.0,4943,31068
192,2008,Diesel,Manual,First,41,1896.0,106.0,5.0,6845,70214
193,2014,Diesel,Manual,First,46,1461.0,83.8,5.0,8138,55923
194,2017,Diesel,Manual,Second,41,1493.0,100.0,7.0,9887,18019
195,2016,Diesel,Manual,First,57,1248.0,88.5,5.0,13690,12427
196,2016,Petrol,Manual,First,43,1197.0,81.83,5.0,9127,37911
197,2009,Petrol,Manual,First,34,1390.0,85.0,5.0,4183,54344
198,2010,Petrol,Manual,First,36,1193.0,64.1,5.0,2281,43806
199,2015,Diesel,Automatic,First,36,1968.0,174.33,5.0,30272,39831
200,2014,Petrol,Automatic,First,34,1798.0,177.5,5.0,15212,47224
201,2014,Diesel,Manual,First,55,1364.0,67.06,5.0,4563,64622
202,2014,Petrol,Automatic,First,34,1595.0,120.7,5.0,18193,23142
203,2013,Diesel,Manual,First,64,1498.0,98.6,5.0,4943,27961
204,2012,Diesel,Manual,Second,52,1582.0,126.32,5.0,7225,73220
205,2014,Diesel,Manual,First,48,1461.0,83.8,5.0,9051,18641
206,2015,Petrol,Manual,Second,35,1591.0,121.3,5.0,12397,16812
207,2016,Petrol,Automatic,First,48,998.0,67.0,5.0,6419,5281
208,2010,Petrol,Automatic,First,27,1796.0,186.0,5.0,15972,18951
209,2012,Diesel,Automatic,First,27,2967.0,246.7,5.0,68454,34796
210,2012,Petrol,Manual,Second,46,1086.0,68.05,5.0,4411,27340
211,2017,Petrol,Automatic,First,33,1598.0,103.52,5.0,13538,6524
212,2017,Petrol,Automatic,First,34,1798.0,177.46,5.0,39551,16155
213,2018,Petrol,Manual,First,40,1197.0,81.86,5.0,12504,15637
214,2014,Diesel,Manual,Second,60,1498.0,98.6,5.0,5324,39767
215,2004,Petrol,Manual,Second,44,998.0,67.1,5.0,1901,37903
216,2013,Diesel,Manual,First,49,1461.0,65.0,5.0,5628,66486
217,2018,Diesel,Automatic,First,45,2143.0,167.62,5.0,59951,18119
218,2013,Petrol,Manual,First,52,998.0,67.04,5.0,4031,19883
219,2015,Diesel,Manual,Second,44,1461.0,108.5,5.0,13569,28690
220,2017,Petrol,Automatic,First,39,1998.0,189.08,4.0,54261,16358
221,2007,Diesel,Manual,Second,40,1396.0,53.5,5.0,1293,124274
222,2016,Petrol,Manual,Second,43,1199.0,76.8,5.0,5050,37787
223,2012,Diesel,Manual,First,51,1199.0,73.9,5.0,5476,27961
224,2016,Diesel,Manual,First,53,1248.0,74.0,5.0,10344,39767
225,2012,Diesel,Manual,First,47,1399.0,68.05,5.0,3803,25652
226,2019,Diesel,Automatic,First,26,2755.0,171.5,7.0,29876,8801
227,2011,Diesel,Automatic,Second,27,2199.0,194.3,7.0,10648,41631
228,2011,Petrol,Manual,First,40,1497.0,117.3,5.0,5887,20239
229,2018,Petrol,Manual,First,43,1197.0,81.83,5.0,9538,9295
230,2015,Diesel,Automatic,First,45,2143.0,167.62,5.0,27564,34784
231,2013,Diesel,Manual,First,59,936.0,57.6,5.0,4031,45981
232,2015,Diesel,Manual,First,53,1396.0,88.73,5.0,10952,35323
233,2015,Diesel,Manual,First,30,2494.0,100.6,7.0,21753,75418
234,2013,Diesel,Manual,First,48,1248.0,88.76,7.0,10496,32311
235,2014,Diesel,Manual,First,30,2494.0,102.0,7.0,16353,73321
236,2016,Petrol,Manual,First,41,1497.0,117.3,5.0,12306,21073
237,2014,Diesel,Automatic,First,40,1995.0,184.0,5.0,28142,50953
238,2017,Diesel,Manual,First,56,1120.0,70.0,5.0,7225,20505
239,2016,Diesel,Manual,First,66,1248.0,88.5,5.0,12854,21126
240,2012,Diesel,Manual,First,48,1598.0,103.6,5.0,5324,34175
241,2006,Diesel,Manual,First,30,1493.0,82.0,5.0,2738,99753
242,2014,Diesel,Manual,Second,46,1498.0,103.6,5.0,5628,37282
243,2017,Petrol,Manual,First,43,1199.0,88.7,5.0,10907,30804
244,2010,Petrol,Manual,First,46,1086.0,68.05,5.0,2662,51573
245,2018,Diesel,Automatic,First,38,1995.0,183.0,5.0,33451,31904
246,2017,Diesel,Manual,First,32,2393.0,147.8,7.0,28370,26718
247,2011,Petrol,Manual,Third,46,796.0,35.0,5.0,2814,21747
248,2017,Petrol,Manual,Second,47,1197.0,81.8,5.0,9051,17318
249,2014,Petrol,Manual,First,44,1197.0,82.0,5.0,5704,10261
250,2012,Diesel,Manual,First,53,1248.0,74.0,5.0,5704,74564
251,2008,Diesel,Manual,First,51,1582.0,126.2,5.0,3955,89026
252,2010,Petrol,Manual,First,39,1197.0,80.0,5.0,4259,32311
253,2017,Diesel,Automatic,First,27,2987.0,254.79,5.0,93235,18528
254,2014,Diesel,Manual,Second,37,2148.0,170.0,5.0,27381,35418
255,2014,Diesel,Manual,First,54,1248.0,73.94,5.0,6617,54991
256,2016,Diesel,Manual,First,46,1582.0,126.2,5.0,20916,17398
257,2010,Petrol,Manual,First,44,998.0,66.1,5.0,3042,41631
258,2016,Diesel,Manual,First,46,1461.0,108.45,5.0,15212,16155
259,2010,Diesel,Manual,First,41,1248.0,76.0,5.0,2510,74564
260,2017,Diesel,Automatic,First,38,2993.0,258.0,5.0,69626,32300
261,2010,Petrol,Manual,Second,47,1197.0,78.9,5.0,4943,22369
262,2016,Diesel,Manual,First,30,2494.0,102.0,7.0,19471,29204
263,2002,Petrol,Manual,Third,40,993.0,60.0,5.0,836,37282
264,2018,Diesel,Manual,First,66,1248.0,74.0,5.0,10876,19278
265,2013,Diesel,Manual,Second,28,2179.0,120.0,8.0,10648,65243
266,2017,Diesel,Manual,First,53,1248.0,74.0,5.0,5704,75745
267,2017,Petrol,Manual,First,44,999.0,123.24,5.0,12930,14102
268,2012,Diesel,Manual,First,55,1248.0,74.0,5.0,6617,45360
269,2016,Petrol,Manual,First,53,796.0,47.3,5.0,4959,20024
270,2011,Petrol,Manual,First,39,1497.0,118.0,5.0,6404,34175
271,2018,Diesel,Automatic,First,28,2967.0,241.4,7.0,107033,7013
272,2009,Diesel,Automatic,Second,39,1896.0,105.0,5.0,4487,29825
273,2012,Petrol,Manual,First,40,1591.0,121.3,5.0,6510,33745
274,2009,Petrol,Automatic,First,39,1497.0,118.0,5.0,5430,48741
275,2013,Diesel,Manual,First,51,1396.0,88.8,5.0,4730,28583
276,2014,Petrol,Automatic,First,35,1396.0,98.6,5.0,9066,27993
277,2011,Diesel,Manual,First,48,1598.0,103.6,5.0,7149,42874
278,2014,Petrol,Manual,First,40,1497.0,117.3,5.0,10496,30447
279,2018,Diesel,Manual,First,53,1248.0,74.0,5.0,7986,27961
280,2015,Diesel,Automatic,First,43,1995.0,177.0,5.0,42594,39767
281,2009,Petrol,Manual,First,44,1061.0,67.0,5.0,2053,37282
282,2015,Petrol,Manual,First,42,1199.0,88.7,5.0,7377,38635
283,2012,Diesel,Manual,First,35,1896.0,105.0,5.0,10192,36043
284,2010,Petrol,Manual,First,47,1197.0,78.9,5.0,4715,45981
285,2015,Diesel,Automatic,First,45,2143.0,170.0,5.0,28355,48324
286,2012,Petrol,Manual,First,47,1197.0,78.9,5.0,4259,28132
287,2016,Diesel,Manual,First,32,2393.0,147.8,7.0,30804,29825
288,2015,Diesel,Automatic,First,41,1968.0,174.33,5.0,40738,19667
289,2010,Diesel,Manual,Second,30,2494.0,100.6,7.0,12565,67729
290,2015,Petrol,Manual,First,38,1198.0,73.9,5.0,5917,19870
291,2011,Petrol,Manual,First,49,998.0,67.1,5.0,3194,43495
292,2017,Petrol,Automatic,First,42,1497.0,117.3,5.0,19304,9320
293,2013,Diesel,Manual,First,39,1405.0,70.0,5.0,3924,36746
294,2014,Diesel,Automatic,First,41,1968.0,174.33,5.0,31595,38354
295,2015,Diesel,Automatic,First,42,2143.0,136.0,5.0,30819,29825
296,2014,Petrol,Automatic,First,54,998.0,67.04,5.0,6465,48351
297,2017,Diesel,Automatic,First,42,2143.0,201.15,5.0,86709,18019
298,2017,Diesel,Automatic,First,29,2179.0,187.7,5.0,66933,27340
299,2011,Diesel,Manual,First,48,1598.0,103.6,5.0,5552,67497
300,2012,Petrol,Manual,First,32,796.0,35.0,5.0,3118,44608
301,2012,Petrol,Manual,First,43,1198.0,86.8,5.0,4761,57123
302,2000,Diesel,Manual,Second,33,2956.0,83.1,7.0,2281,98176
303,2012,Diesel,Manual,First,42,1248.0,75.0,5.0,4335,56658
304,2012,Petrol,Manual,First,44,998.0,67.1,5.0,4031,40389
305,2015,Diesel,Manual,First,37,2179.0,140.0,7.0,16124,54946
306,2008,Diesel,Manual,Second,40,1396.0,70.0,5.0,1901,85749
307,2018,Petrol,Manual,First,37,1373.0,93.7,7.0,12550,11184
308,2011,Petrol,Automatic,First,27,2354.0,177.6,5.0,6769,37282
309,2012,Diesel,Manual,First,45,1248.0,73.9,5.0,5628,29825
310,2009,Diesel,Manual,First,41,1399.0,68.0,5.0,4259,99419
311,2008,Petrol,Manual,First,41,1497.0,78.0,5.0,2738,24854
312,2014,Diesel,Automatic,First,41,1968.0,174.33,5.0,33390,31997
313,2011,Diesel,Automatic,First,22,2993.0,313.0,4.0,74539,18641
314,2017,Diesel,Automatic,First,34,2967.0,245.0,7.0,95334,60540
315,2008,CNG,Manual,First,61,998.0,67.1,5.0,2129,26405
316,2012,Diesel,Manual,First,54,1396.0,90.0,5.0,8366,51573
317,2009,Petrol,Automatic,Third,39,1197.0,78.9,5.0,4487,22990
318,2016,Petrol,Automatic,First,44,1199.0,88.7,5.0,10435,17710
319,2015,Diesel,Manual,First,59,1248.0,74.0,5.0,9355,47532
320,2011,Petrol,Manual,Second,43,1197.0,82.85,5.0,5020,49182
321,2011,Petrol,Manual,First,38,1198.0,73.9,5.0,3879,19883
322,2009,Petrol,Manual,First,46,796.0,46.3,5.0,2281,21747
323,2004,Petrol,Automatic,Second,26,1794.0,125.0,5.0,3803,65243
324,2006,Petrol,Manual,Second,46,796.0,46.3,5.0,2129,34796
325,2012,Diesel,Manual,First,49,1248.0,88.8,5.0,5172,45360
326,2012,Petrol,Manual,First,46,796.0,46.3,5.0,3422,23612
327,2013,Diesel,Automatic,First,45,1968.0,141.0,5.0,11409,481562
328,2008,Petrol,Automatic,First,26,1794.0,125.0,5.0,4259,49709
329,2016,Petrol,Manual,First,43,1197.0,81.83,5.0,11652,15517
330,2016,Diesel,Manual,First,57,1248.0,88.5,5.0,10876,27961
331,2010,Petrol,Manual,First,39,1497.0,118.0,5.0,5324,54326
332,2014,Diesel,Manual,Second,42,1248.0,75.0,5.0,5324,83228
333,2013,Diesel,Manual,First,60,1498.0,98.6,5.0,5248,35418
334,2016,Petrol,Manual,First,49,814.0,55.2,5.0,5400,17338
335,2015,Diesel,Automatic,Second,51,1995.0,190.0,5.0,39536,19086
336,2012,Diesel,Manual,First,52,1582.0,126.32,5.0,7986,49709
337,2013,Diesel,Manual,First,49,1248.0,88.8,5.0,4411,29393
338,2005,Petrol,Automatic,First,33,1984.0,227.0,5.0,3118,62137
339,2017,Petrol,Manual,First,56,998.0,67.1,5.0,5704,18641
340,2014,Diesel,Manual,First,53,1498.0,89.84,5.0,10268,42253
341,2011,Petrol,Manual,Second,42,995.0,62.0,5.0,1445,13048
342,2017,Diesel,Automatic,First,45,1999.0,177.0,5.0,79103,13048
343,2007,Petrol,Manual,Third,30,1997.0,141.1,5.0,5947,73943
344,2019,Petrol,Automatic,First,34,1798.0,177.46,5.0,41529,8541
345,2009,Petrol,Manual,First,47,1197.0,78.9,5.0,4107,385250
346,2013,Diesel,Manual,First,53,1248.0,74.0,5.0,5324,43495
347,2016,Petrol,Automatic,First,43,1197.0,83.14,5.0,9431,11184
348,2011,Diesel,Manual,First,54,1461.0,63.1,5.0,4183,51573
349,2015,Diesel,Manual,First,55,1248.0,74.0,5.0,4943,80778
350,2012,Diesel,Manual,First,41,1399.0,67.0,5.0,4943,39394
351,2003,Petrol,Manual,First,40,993.0,60.0,5.0,988,40389
352,2017,Petrol,Manual,First,32,1998.0,192.0,5.0,53242,5188
353,2014,Diesel,Manual,First,55,1364.0,67.05,5.0,4943,27961
354,2018,Petrol,Manual,First,58,796.0,47.3,5.0,4411,16279
355,2011,Petrol,Manual,Third,44,796.0,47.0,5.0,4411,6835
356,2009,Diesel,Automatic,Second,25,2993.0,235.0,5.0,27001,55923
357,2015,Petrol,Automatic,Second,26,2496.0,179.5,5.0,12550,45981
358,2015,Petrol,Automatic,First,44,1197.0,82.0,5.0,8777,23041
359,2017,Diesel,Manual,First,57,1248.0,88.5,5.0,14436,24233
360,2008,Diesel,Automatic,Third,28,2967.0,241.4,7.0,19699,61515
361,2015,Diesel,Automatic,First,42,2143.0,136.0,5.0,30424,23612
362,2007,Petrol,Manual,Third,37,796.0,37.0,4.0,1521,44738
363,2015,Diesel,Manual,Second,48,1461.0,83.8,5.0,10800,57787
364,2017,Diesel,Manual,First,50,1364.0,87.2,5.0,25100,3666
365,2014,Diesel,Manual,First,37,2148.0,170.0,5.0,39551,15534
366,2010,Diesel,Manual,Second,49,1248.0,73.9,5.0,4867,42253
367,2017,Petrol,Automatic,First,37,1497.0,117.3,7.0,14421,22168
368,2015,Diesel,Manual,First,57,1120.0,71.0,5.0,6084,46174
369,2014,Diesel,Automatic,First,33,2143.0,203.0,5.0,40312,36887
370,2014,Petrol,Automatic,Second,34,1595.0,120.7,5.0,17904,25712
